Country,Year,Value
Barbados,1986,3.570760853
Barbados,1985,3.309812487
Barbados,1984,2.931358373
Barbados,1983,2.694257706
Barbados,1982,2.542555036
Barbados,1981,2.709534535
Barbados,1980,2.67540058
Barbados,1979,2.394289263
Barbados,1978,2.522542844
Barbados,1977,2.373081175
Barbados,1976,2.148829634
Barbados,1975,2.310198225
Barbados,1974,2.009405453
Barbados,1973,1.9770228
Barbados,1972,2.080752648
Barbados,1971,2.016530716
Barbados,1970,1.796292187
Barbados,1969,2.019145815
Barbados,1968,1.85515116
Barbados,1967,1.425762826
Barbados,1966,1.134077266
Barbados,1965,0.87245351
Barbados,1964,0.766085262
Barbados,1963,0.816329676
Barbados,1962,1.119410622
Barbados,1961,0.838898625
Barbados,1960,0.746312799
Belarus,2011,6.682510398
Belarus,2010,6.556549631
Belarus,2009,6.341938992
Belarus,2008,6.592748741
Belarus,2007,6.305628975
Belarus,2006,6.437868284
Belarus,2005,6.112425644
Belarus,2004,5.964810791
Belarus,2003,5.483469429
Belarus,2002,5.310737861
Belarus,2001,5.297721696
Belarus,2000,5.34418061
Belarus,1999,5.562438864
Belarus,1998,5.72028692
Belarus,1997,5.883075714
Belarus,1996,5.920977854
Belarus,1995,6.093680596
Belarus,1994,6.445128092
Belarus,1993,7.271325422
Belarus,1992,8.563751566
Belgium,2011,8.849398302
Belgium,2010,9.989975524
Belgium,2009,9.634775755
Belgium,2008,9.699598963
Belgium,2007,9.71371759
Belgium,2006,10.12287933
Belgium,2005,10.33509584
Belgium,2004,10.64264053
Belgium,2003,11.04114741
Belgium,2002,10.36491149
Belgium,2001,11.11303943
Belgium,2000,11.20784724
Belgium,1999,11.25370748
Belgium,1998,11.60191455
Belgium,1997,11.32885202
Belgium,1996,11.62383425
Belgium,1995,11.08115205
Belgium,1994,11.1051094
Belgium,1993,10.67503455
Belgium,1992,11.14648251
Belgium,1991,11.09099988
Belgium,1990,10.63967167
Belgium,1989,10.81351494
Belgium,1988,10.13514385
Belgium,1987,10.44717278
Belgium,1986,10.43154171
Belgium,1985,10.59744025
Belgium,1984,10.69696639
Belgium,1983,10.31207942
Belgium,1982,11.92668478
Belgium,1981,12.57955507
Belgium,1980,13.72329627
Belgium,1979,14.23923382
Belgium,1978,13.80705794
Belgium,1977,12.87543872
Belgium,1976,13.24167979
Belgium,1975,12.4583039
Belgium,1974,13.83696555
Belgium,1973,14.2554864
Belgium,1972,13.47269526
Belgium,1971,12.56342518
Belgium,1970,13.01017881
Belgium,1969,12.81544961
Belgium,1968,12.32568713
Belgium,1967,11.21725675
Belgium,1966,11.04201943
Belgium,1965,11.14165555
Belgium,1964,11.05365472
Belgium,1963,11.38692874
Belgium,1962,10.64118963
Belgium,1961,10.10387199
Belgium,1960,9.941594074
Belize,2011,1.670904302
Belize,2010,1.721708659
Belize,2009,1.495185156
Belize,2008,1.473195826
Belize,2007,1.536093806
Belize,2006,1.488235638
Belize,2005,1.462766389
Belize,2004,1.434471268
Belize,2003,1.430654846
Belize,2002,1.398540057
Belize,2001,2.789916428
Belize,2000,2.7875558
Belize,1999,2.516015128
Belize,1998,1.608270478
Belize,1997,1.754007076
Belize,1996,1.441579228
Belize,1995,1.824977532
Belize,1994,1.854609824
Belize,1993,1.911297219
Belize,1992,1.830471231
Belize,1991,1.880247165
Belize,1990,1.66191243
Belize,1989,1.638927345
Belize,1988,1.392855746
Belize,1987,1.304188704
Belize,1986,1.2110161
Belize,1985,1.156249242
Belize,1984,1.074883686
Belize,1983,1.106077525
Belize,1982,1.13763218
Belize,1981,1.242494884
Belize,1980,1.322807334
Belize,1979,1.479173154
Belize,1978,1.556810005
Belize,1977,1.44548182
Belize,1976,1.302423323
Belize,1975,1.320836554
Belize,1974,1.172939546
Belize,1973,1.13446873
Belize,1972,1.240137478
Belize,1971,1.146010962
Belize,1970,0.990440256
Belize,1969,1.13767399
Belize,1968,0.884672715
Belize,1967,1.073753982
Belize,1966,0.737799971
Belize,1965,0.794762582
Belize,1964,0.818288542
Belize,1963,0.622356888
Belize,1962,0.715409338
Belize,1961,0.38721872
Belize,1960,0.47795108
Benin,2011,0.509962226
Benin,2010,0.541771234
Benin,2009,0.514277812
Benin,2008,0.500183373
Benin,2007,0.516298739
Benin,2006,0.458607507
Benin,2005,0.292647893
Benin,2004,0.316583691
Benin,2003,0.307110875
Benin,2002,0.280412783
Benin,2001,0.252987807
Benin,2000,0.230065879
Benin,1999,0.231754927
Benin,1998,0.185408737
Benin,1997,0.191382863
Benin,1996,0.204833203
Benin,1995,0.221772443
Benin,1994,0.218621053
Benin,1993,0.202977024
Benin,1992,0.168410364
Benin,1991,0.159910854
Benin,1990,0.142976655
Benin,1989,0.132690892
Benin,1988,0.119745164
Benin,1987,0.118573004
Benin,1986,0.15699872
Benin,1985,0.173630822
Benin,1984,0.123291053
Benin,1983,0.114215524
Benin,1982,0.127787747
Benin,1981,0.112249052
Benin,1980,0.139064998
Benin,1979,0.101340082
Benin,1978,0.103038654
Benin,1977,0.086539722
Benin,1976,0.077823023
Benin,1975,0.135983014
Benin,1974,0.127816295
Benin,1973,0.122623449
Benin,1972,0.127891949
Benin,1971,0.0987099
Benin,1970,0.097105031
Benin,1969,0.070849897
Benin,1968,0.055230835
Benin,1967,0.052319596
Benin,1966,0.042394929
Benin,1965,0.057114908
Benin,1964,0.055295044
Benin,1963,0.047579654
Benin,1962,0.054201528
Benin,1961,0.052045781
Benin,1960,0.066354118
Bermuda,2011,6.07721021
Bermuda,2010,7.320035624
Bermuda,2009,7.095328783
Bermuda,2008,5.955019687
Bermuda,2007,7.968299223
Bermuda,2006,8.070207523
Bermuda,2005,6.916279577
Bermuda,2004,10.52809853
Bermuda,2003,8.0491591
Bermuda,2002,8.335150687
Bermuda,2001,7.920213106
Bermuda,2000,8.006161758
Bermuda,1999,8.077751489
Bermuda,1998,7.581543409
Bermuda,1997,7.879894871
Bermuda,1996,7.928121206
Bermuda,1995,7.794814716
Bermuda,1994,7.974426837
Bermuda,1993,8.154422
Bermuda,1992,6.946616606
Bermuda,1991,8.636129513
Bermuda,1990,10.07519469
Bermuda,1989,13.33658503
Bermuda,1988,11.12411949
Bermuda,1987,9.952099431
Bermuda,1986,7.412986651
Bermuda,1985,7.92718549
Bermuda,1984,7.863938465
Bermuda,1983,8.064384051
Bermuda,1982,7.142347022
Bermuda,1981,7.0608901
Bermuda,1980,7.981946223
Bermuda,1979,8.588141264
Bermuda,1978,7.936044776
